Unnamed: 0,Unnamed: 0.1,RA_deg,DEC_deg,coord_ra,coord_dec,object,Field,ccdnum,MJDObs,Obs,AIRMASS,SEEING,EXPTIME,base_PsfFlux_flux,base_PsfFlux_fluxSigma
159825,159825,308.52643557875336,-39.80921390677812,5.384802130291424,-0.6948018553039932,1046,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,705.6189285673732,91.83912280144241
159826,159826,308.525910075596,-39.773482289208786,5.384792958531097,-0.6941782209303449,1047,1,24,57992.10106363,1.0,1.02,2.364,240.0,742.0691253996623,77.33709137025194
159827,159827,308.52594387616784,-39.773425875513134,5.3847935484623655,-0.6941772363256123,1047,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,863.3973401758203,92.09771937172206
159828,159828,308.5270429735316,-39.78999172868904,5.384812731330161,-0.6944663650069339,1048,1,24,57992.10106363,1.0,1.02,2.364,240.0,6973.047565266721,91.63692635298307
159829,159829,308.52704394331533,-39.78999502973783,5.384812748256082,-0.6944664226211039,1048,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,6864.031980741628,103.72026478346693
159830,159830,308.52703992476137,-39.78999988714492,5.384812678119085,-0.6944665073988511,1048,1,24,57996.12773527,3.0,1.02,2.522,240.0,7114.0164312617835,168.61203873267928
159831,159831,308.52680569899013,-39.74523059395445,5.384808590108183,-0.6936851358288866,1049,1,24,57992.10106363,1.0,1.02,2.364,240.0,1189.8732686303129,78.55397671129437
159832,159832,308.5268349194743,-39.74525717617272,5.384809100101839,-0.6936855997761179,1049,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1148.8752803410152,92.71120229031759
159833,159833,308.5268607336781,-39.74535254591776,5.384809550644691,-0.6936872642921756,1049,1,24,57996.12773527,3.0,1.02,2.522,240.0,1193.7536741428744,162.50292810683544
159834,159834,308.5262872817027,-39.6913842411456,5.384799542019619,-0.6927453396821817,1050,1,24,57992.10106363,1.0,1.02,2.364,240.0,1954.027960819764,80.71832534314058
159835,159835,308.5262835521938,-39.69138246718762,5.384799476927407,-0.6927453087207741,1050,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,2184.0106971877194,95.08492973769151
159836,159836,308.5263001866145,-39.69134888481872,5.384799767252819,-0.6927447225978663,1050,1,24,57996.12773527,3.0,1.02,2.522,240.0,2110.7488099679294,163.60532404716182
159837,159837,308.52638834431235,-39.702113207953296,5.384801305894908,-0.6929325954783132,1052,1,24,57992.10106363,1.0,1.02,2.364,240.0,593.9262993425572,77.36356564010109
